row_number,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,lat,long,geohash,geometry,cod_comuna,Comuna
0,2019,1,9,LICEO POLITECNICO ARICA, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,463,510,563,610,663,863,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.48727417,-70.29473877,6kwnb6k,POINT (-70.29473877 -18.48727417),15101,Arica
1,2019,2,7,PARVULARIO LAS ESPIGUITAS, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.46986198,-70.30275726,6kwnbjx,POINT (-70.30275726000001 -18.46986198),15101,Arica
2,2019,3,5,ESC. PEDRO VICENTE GUTIERREZ TORRES, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,1,0,165,167,363,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-18.50358009,-70.26082611,6kwn9pt,POINT (-70.26082611 -18.50358009),15101,Arica
3,2019,4,3,LICEO OCTAVIO PALMA PEREZ, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,310,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-18.47424316,-70.30826569,6kwnbhg,POINT (-70.30826569 -18.47424316),15101,Arica
4,2019,5,1,JOVINA NARANJO FERNANDEZ, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,110,310,363,0,0,0,0,0,0,0,0,1,1,7,PLURALISTA,GRATUITO,GRATUITO,-18.47690392,-70.31345367,6ktyzur,POINT (-70.31345367 -18.47690392),15101,Arica
5,2019,7,8,L. POLI. ANTONIO VARAS DE LA BARRA, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,410,510,610,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-18.4761467,-70.28836823,6kwnbs9,POINT (-70.28836823 -18.4761467),15101,Arica
6,2019,8,6,COLEGIO INTEGRADO EDUARDO FREI MONTALVA, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,10,110,310,0,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO,-18.48249054,-70.31758118,6ktyzgk,POINT (-70.31758118 -18.48249054),15101,Arica
7,2019,9,4,ESCUELA REPUBLICA DE ISRAEL, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.48684883,-70.30245209,6kwnb4x,POINT (-70.30245209 -18.48684883),15101,Arica
8,2019,10,8,ESCUELA REPUBLICA DE FRANCIA, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.47436523,-70.30904388,6kwnbhf,POINT (-70.30904388 -18.47436523),15101,Arica
9,2019,11,6,ESC. GRAL. PEDRO LAGOS MARCHANT, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,0,1,10,110,0,0,0,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO,-18.49101639,-70.31155396,6kwnb1b,POINT (-70.31155396 -18.49101639),15101,Arica
