row_number,row_number,AGNO,COD_ESCUELA_PAIS,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_ADM1,NOM_REG_RBD_A,COD_PRO_RBD,COD_ADM3,NOM_ADM3,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,lat,long,geohash,geometry,cod_comuna,Comuna,g_adm_1,g_adm_3,month,day,n_visitantes_geohash,n_visitantes_adm3,n_visitantes_0,n_visitantes_1,n_visitantes_2,n_visitantes_3,n_visitantes_4,n_visitantes_5,n_visitantes_6,n_visitantes_7,n_visitantes_8,n_visitantes_9,n_visitantes_10,n_visitantes_11,n_visitantes_12,n_visitantes_13,n_visitantes_14,n_visitantes_15,n_visitantes_16,n_visitantes_17,n_visitantes_18,n_visitantes_19,n_visitantes_20,n_visitantes_21,n_visitantes_22,n_visitantes_23,_merge
210,2,2019,3,5,ESC. PEDRO VICENTE GUTIERREZ TORRES, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,1,0,165,167,363,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-18.50358009,-70.26082611,6kwn9pt,POINT (-70.26082611 -18.50358009),15101,Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
3162,34,2019,41,8,ESCUELA VALLE DE CHACA, ,69010100,1,15,AYP,151,15101,ARICA,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.82064247,-70.14038086,6kwhgvv,POINT (-70.14038085999999 -18.82064247),15101,Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11043,15839,2019,40169,2,COLEGIO DIFERENCIAL COLIBRÍ, ,65095201,1,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,-18.505793,-70.29449,6kwn8rj,POINT (-70.29449 -18.505793),15101,Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
11046,15883,2019,40225,7,ESC. ESP. LENG. SEMILLITAS DE AMOR, ,65096298,1,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,0,214,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.523878,-70.29271,6kwn87y,POINT (-70.29271 -18.523878),15101,Arica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12203,55,2019,70,1,ESCUELA VALLE DE ESQUINA, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,7,MULTICULTURAL,GRATUITO,GRATUITO,-18.93621826,-69.530159,6kws3bc,POINT (-69.530159 -18.93621826),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12231,58,2019,74,4,ESCUELA VALLE DE CAMARONES, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-19.00991631,-69.86013794,6kw7f73,POINT (-69.86013794 -19.00991631),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12232,59,2019,75,2,ESCUELA VALLE DE GUANACAGUA, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.82276535,-69.71333313,6kwkvtk,POINT (-69.71333313 -18.82276535),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12340,8680,2019,10887,1,ESCUELA DE CHITITA, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.82287231,-69.68486249,6kwkym3,POINT (-69.68486249 -18.82287231),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12341,8685,2019,10897,9,ESCUELA DE ILLAPATA, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.94981866,-69.49459339,6kws4w7,POINT (-69.49459339000001 -18.94981866),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12342,8696,2019,10912,6,ESCUELA VALLE DE PARCOHAYLLA, ,69251000,1,15,AYP,151,15102,CAMARONES,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,7,EVÁNGELICA,GRATUITO,GRATUITO,-18.90061998,-69.25041665,6kwu2pj,POINT (-69.25041665000001 -18.90061998),15102,Camarones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12373,64,2019,82,5,ESCUELA SAN FRANCISCO DE ASIS, ,69250800,1,15,AYP,152,15201,PUTRE,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.26880074,-69.59646606,6ky8063,POINT (-69.59646606 -18.26880074),15201,Putre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12374,65,2019,83,3,ESCUELA COTA COTANI, ,69250800,1,15,AYP,152,15201,PUTRE,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.52192497,-69.22052765,6kwy8u5,POINT (-69.22052764999999 -18.52192497),15201,Putre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12481,67,2019,86,8,ESCUELA SAN SANTIAGO DE BELEN, ,69250800,1,15,AYP,152,15201,PUTRE,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-18.46778488,-69.51489258,6kwwfnh,POINT (-69.51489257999999 -18.46778488),15201,Putre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12482,68,2019,87,6,ESCUELA ANCOLACANE, ,69250700,1,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-17.85471535,-69.60613251,6kyd2jd,POINT (-69.60613250999999 -17.85471535),15202,General Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12483,69,2019,88,4,ESCUELA ALCERRECA, ,69250700,1,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-17.99433517,-69.70589447,6ky3tu1,POINT (-69.70589447 -17.99433517),15202,General Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
12499,72,2019,91,4,ESCUELA COSAPILLA, ,69250700,1,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,0,110,0,0,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO,-17.767959,-69.412081,6kydumr,POINT (-69.412081 -17.767959),15202,General Lagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
